disk_id,ds,model,n_1,r_1,n_5,r_5,n_9,r_9,n_12,r_12,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_180,r_180,n_184,r_184,n_187,r_187,n_188,r_188,n_190,r_190,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_175,r_175,is_null,is_broken
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
2161,20190126,MA1,130,1673619222,98,7,100,45808,100,25,100,13,100,0,1,0,100,22,130,1923910016.0,100,0,100,0,100,0,87,13,100,13,100,1147571,99,7,100,0,100,0,100,0,100,1168270000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
37843,20190126,MA1,130,4294967295,98,2,100,47039,100,46,100,3,100,0,2,0,100,43,130,4294967295.0,100,0,100,0,100,0,83,17,100,17,100,1305443423,99,2,100,0,100,0,100,0,100,1181150000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
37843,20190124,MA1,130,4294967295,98,2,100,46991,100,46,100,3,100,0,3,0,100,43,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,1302701509,99,2,100,0,100,0,100,0,100,1177330000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
37843,20190120,MA1,130,4294967295,98,2,100,46895,100,46,100,3,100,0,3,0,100,43,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,1296970107,99,2,100,0,100,0,100,0,100,1176950000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
3470,20190116,MA1,130,4294967295,97,20,100,47352,100,55,100,20,100,0,1,0,100,52,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,1570747406,99,20,100,0,100,0,100,0,100,1181180000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
3470,20190111,MA1,130,4294967295,97,20,100,47233,100,55,100,20,100,0,1,0,100,52,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,1570747372,99,20,100,0,100,0,100,0,100,1177070000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
3462,20190116,MA1,130,4294967295,97,0,100,46877,100,72,100,0,100,0,1,0,100,69,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,1311497414,100,0,100,0,100,0,100,0,100,1172590000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
3462,20190111,MA1,130,4294967295,97,0,100,46758,100,72,100,0,100,0,1,0,100,69,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,1311497393,100,0,100,0,100,0,100,0,100,1168480000000.0,0,1
29101,20180422,MA1,130,4294967295,97,6,100,39376,100,51,100,7,100,0,1,0,100,48,130,4294967295.0,100,0,100,0,100,2,85,15,100,15,100,1964804860,99,6,100,0,100,0,100,0,100,997024000000.0,0,1
29101,20180421,MA1,130,4294967295,97,6,100,39352,100,51,100,7,100,0,1,0,100,48,130,4294967295.0,100,0,100,0,100,2,85,15,100,15,100,1963135991,99,6,100,0,100,0,100,0,100,996930000000.0,0,1
29101,20180420,MA1,130,4294967295,97,6,100,39328,100,51,100,7,100,0,2,0,100,48,130,4294967295.0,100,0,100,0,100,2,86,14,100,14,100,1961467034,99,6,100,0,100,0,100,0,100,996836000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
29101,20180418,MA1,130,4294967295,97,6,100,39280,100,51,100,7,100,0,2,0,100,48,130,4294967295.0,100,0,100,0,100,2,86,14,100,14,100,1958069065,99,6,100,0,100,0,100,0,100,996647000000.0,0,1
29101,20180417,MA1,130,4294967295,97,6,100,39256,100,51,100,7,100,0,2,0,100,48,130,4294967295.0,100,0,100,0,100,2,87,13,100,13,100,1956352945,99,6,100,0,100,0,100,0,100,996553000000.0,0,1
29101,20180416,MA1,130,4294967295,97,6,100,39232,100,51,100,7,100,0,2,0,100,48,130,4294967295.0,100,0,100,0,100,2,86,14,100,14,100,1954645200,99,6,100,0,100,0,100,0,100,996459000000.0,0,1
40408,20180812,MA1,130,4294967295,98,2,100,41213,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,2,79,21,100,21,100,1000095738,99,2,100,0,100,0,100,0,100,1044080000000.0,0,1
40408,20180811,MA1,130,4294967295,98,2,100,41189,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,2,80,20,100,20,100,999684680,99,2,100,0,100,0,100,0,100,1043980000000.0,0,1
40408,20180810,MA1,130,4294967295,98,2,100,41165,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,2,79,21,100,21,100,999244836,99,2,100,0,100,0,100,0,100,1043890000000.0,0,1
40408,20180809,MA1,130,4294967295,98,2,100,41141,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,79,21,100,21,100,998795920,99,2,100,0,100,0,100,0,100,1043800000000.0,0,1
40408,20180808,MA1,130,4294967295,98,2,100,41117,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,80,20,100,20,100,998347579,99,2,100,0,100,0,100,0,100,1043700000000.0,0,1
40408,20180807,MA1,130,4294967295,98,2,100,41093,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,78,22,100,22,100,997902572,99,2,100,0,100,0,100,0,100,1039970000000.0,0,1
40408,20180806,MA1,130,4294967295,98,2,100,41070,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,79,21,100,21,100,997424716,99,2,100,0,100,0,100,0,100,1039880000000.0,0,1
29100,20181207,MA1,130,4294967295,97,4,100,44858,100,45,100,8,100,0,1,0,100,42,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,2113316146,99,4,100,0,100,0,100,0,100,1138520000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
29100,20181204,MA1,130,4294967295,97,4,100,44786,100,45,100,8,100,0,2,0,100,42,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,2109251445,99,4,100,0,100,0,100,0,100,1138240000000.0,0,1
29100,20181203,MA1,130,4294967295,97,4,100,44762,100,45,100,8,100,0,2,0,100,42,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,2107846835,99,4,100,0,100,0,100,0,100,1134510000000.0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,1
14908,20180227,MA1,130,4294967295,98,1,100,39303,100,25,100,0,100,0,1,0,100,22,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,660536,99,1,100,0,100,0,100,0,100,996990000000.0,0,1
14908,20180226,MA1,130,4294967295,98,1,100,39279,100,25,100,0,100,0,1,0,100,22,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,660372,99,1,100,0,100,0,100,0,100,996896000000.0,0,1
14908,20180225,MA1,130,4294967295,98,1,100,39255,100,25,100,0,100,0,2,0,100,22,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,660140,99,1,100,0,100,0,100,0,100,996802000000.0,0,1
14908,20180224,MA1,130,4294967295,98,1,100,39231,100,25,100,0,100,0,2,0,100,22,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,659905,99,1,100,0,100,0,100,0,100,996709000000.0,0,1
14908,20180223,MA1,130,4294967295,98,1,100,39207,100,25,100,0,100,0,2,0,100,22,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,659706,99,1,100,0,100,0,100,0,100,996615000000.0,0,1
14908,20180222,MA1,130,4294967295,98,1,100,39183,100,25,100,0,100,0,2,0,100,22,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,659483,99,1,100,0,100,0,100,0,100,996521000000.0,0,1
14908,20180221,MA1,130,4294967295,98,1,100,39159,100,25,100,0,100,0,2,0,100,22,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,659293,99,1,100,0,100,0,100,0,100,992792000000.0,0,1
2152,20180830,MA1,130,4294967295,98,0,100,43658,100,23,100,0,100,0,1,0,100,20,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,558551,100,0,100,0,100,0,100,0,100,1113000000000.0,0,1
2152,20180829,MA1,130,4294967295,98,0,100,43634,100,23,100,0,100,0,1,0,100,20,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,558325,100,0,100,0,100,0,100,0,100,1112910000000.0,0,1
2152,20180828,MA1,130,4294967295,98,0,100,43610,100,23,100,0,100,0,2,0,100,20,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,558157,100,0,100,0,100,0,100,0,100,1112810000000.0,0,1
2152,20180827,MA1,130,4294967295,98,0,100,43586,100,23,100,0,100,0,2,0,100,20,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,557983,100,0,100,0,100,0,100,0,100,1112720000000.0,0,1
2152,20180826,MA1,130,4294967295,98,0,100,43562,100,23,100,0,100,0,2,0,100,20,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,557751,100,0,100,0,100,0,100,0,100,1112620000000.0,0,1
2152,20180825,MA1,130,4294967295,98,0,100,43538,100,23,100,0,100,0,2,0,100,20,130,4294967295.0,100,0,100,0,100,0,83,17,100,17,100,557580,100,0,100,0,100,0,100,0,100,1112530000000.0,0,1
2152,20180824,MA1,130,4294967295,98,0,100,43515,100,23,100,0,100,0,2,0,100,20,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,557390,100,0,100,0,100,0,100,0,100,1112440000000.0,0,1
40417,20180812,MA1,130,4294967295,98,2,100,41213,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,78,22,100,22,100,1050743584,99,2,100,0,100,0,100,0,100,1044080000000.0,0,1
40417,20180811,MA1,130,4294967295,98,2,100,41189,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,78,22,100,22,100,1050107221,99,2,100,0,100,0,100,0,100,1043990000000.0,0,1
40417,20180810,MA1,130,4294967295,98,2,100,41165,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,78,22,100,22,100,1049458329,99,2,100,0,100,0,100,0,100,1043890000000.0,0,1
40417,20180809,MA1,130,4294967295,98,2,100,41141,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,77,23,100,23,100,1048797923,99,2,100,0,100,0,100,0,100,1043800000000.0,0,1
40417,20180808,MA1,130,4294967295,98,2,100,41117,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,77,23,100,23,100,1048140294,99,2,100,0,100,0,100,0,100,1043700000000.0,0,1
40417,20180807,MA1,130,4294967295,98,2,100,41093,100,41,100,2,100,0,1,0,100,38,130,4294967295.0,100,0,100,0,100,0,76,24,100,24,100,1047485542,99,2,100,0,100,0,100,0,100,1039980000000.0,0,1
