disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_170,r_170,n_171,r_171,n_172,r_172,n_174,r_174,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_192,r_192,n_194,r_194,n_197,r_197,n_199,r_199,n_233,r_233,n_241,r_241,n_242,r_242,n_175,r_175,n_232,r_232,is_null,is_broken
100077,20181025,MA2,100,0,100,27647,100,14,100,0,100,0,100,0,100,11,100,0,100,0,100,0,83,17,100,11,100,28,100,0,100,0,87,0,100,4668631,100,194885,100,700000000000.0,100,0,0,0
100077,20181024,MA2,100,0,100,27623,100,14,100,0,100,0,100,0,100,11,100,0,100,0,100,0,83,17,100,11,100,28,100,0,100,0,87,0,100,4660375,100,194837,100,700000000000.0,100,0,0,0
100077,20181023,MA2,100,0,100,27599,100,14,100,0,100,0,100,0,100,11,100,0,100,0,100,0,84,16,100,11,100,27,100,0,100,0,87,0,100,4650862,100,194833,100,696000000000.0,100,0,0,0
100077,20181022,MA2,100,0,100,27575,100,14,100,0,100,0,100,0,100,11,100,0,100,0,100,0,84,16,100,11,100,27,100,0,100,0,87,0,100,4639692,100,194760,100,696000000000.0,100,0,0,0
100077,20181021,MA2,100,0,100,27551,100,14,100,0,100,0,100,0,100,11,100,0,100,0,100,0,83,17,100,11,100,28,100,0,100,0,87,0,100,4630720,100,194622,100,696000000000.0,100,0,0,0
100077,20181020,MA2,100,0,100,27527,100,14,100,0,100,0,100,0,100,11,100,0,100,0,100,0,84,16,100,11,100,27,100,0,100,0,87,0,100,4622436,100,194473,100,696000000000.0,100,0,0,0
100077,20181019,MA2,100,0,100,27503,100,14,100,0,100,0,100,0,100,11,100,0,100,0,100,0,84,16,100,11,100,27,100,0,100,0,87,0,100,4614497,100,194424,100,696000000000.0,100,0,0,0
100033,20181220,MA2,100,0,100,23239,100,18,100,0,100,0,100,0,100,13,100,0,100,0,100,0,84,16,100,13,100,27,100,0,100,0,100,0,100,23690,100,3366229,100,593000000000.0,100,0,0,0
100033,20181219,MA2,100,0,100,23215,100,18,100,0,100,0,100,0,100,13,100,0,100,0,100,0,85,15,100,13,100,26,100,0,100,0,100,0,100,23690,100,3342399,100,593000000000.0,100,0,0,0
100033,20181218,MA2,100,0,100,23191,100,18,100,0,100,0,100,0,100,13,100,0,100,0,100,0,85,15,100,13,100,26,100,0,100,0,100,0,100,23690,100,3342399,100,593000000000.0,100,0,0,0
100033,20181217,MA2,100,0,100,23167,100,18,100,0,100,0,100,0,100,13,100,0,100,0,100,0,84,16,100,13,100,27,100,0,100,0,100,0,100,23690,100,3342399,100,593000000000.0,100,0,0,0
100033,20181216,MA2,100,0,100,23143,100,18,100,0,100,0,100,0,100,13,100,0,100,0,100,0,85,15,100,13,100,26,100,0,100,0,100,0,100,23690,100,3342399,100,593000000000.0,100,0,0,0
100033,20181215,MA2,100,0,100,23119,100,18,100,0,100,0,100,0,100,13,100,0,100,0,100,0,85,15,100,13,100,26,100,0,100,0,100,0,100,23690,100,3342399,100,593000000000.0,100,0,0,0
100033,20181214,MA2,100,0,100,23095,100,18,100,0,100,0,100,0,100,13,100,0,100,0,100,0,85,15,100,13,100,26,100,0,100,0,100,0,100,23690,100,3342399,100,593000000000.0,100,0,0,0
100150,20191204,MA2,100,0,100,30906,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,82,18,100,7,100,29,100,0,100,0,94,0,100,1905316,100,4567807,100,791000000000.0,100,0,0,0
100150,20191203,MA2,100,0,100,30882,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,83,17,100,7,100,28,100,0,100,0,94,0,100,1902606,100,4567499,100,791000000000.0,100,0,0,0
100150,20191202,MA2,100,0,100,30858,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,83,17,100,7,100,28,100,0,100,0,94,0,100,1899859,100,4567179,100,791000000000.0,100,0,0,0
100150,20191201,MA2,100,0,100,30834,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,83,17,100,7,100,28,100,0,100,0,94,0,100,1897154,100,4566849,100,791000000000.0,100,0,0,0
100150,20191130,MA2,100,0,100,30810,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,82,18,100,7,100,29,100,0,100,0,94,0,100,1894391,100,4566506,100,791000000000.0,100,0,0,0
100150,20191129,MA2,100,0,100,30786,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,82,18,100,7,100,29,100,0,100,0,94,0,100,1891515,100,4566147,100,790000000000.0,100,0,0,0
100150,20191128,MA2,100,0,100,30762,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,83,17,100,7,100,28,100,0,100,0,94,0,100,1888628,100,4541959,100,790000000000.0,100,0,0,0
100118,20180910,MA2,100,0,100,29559,100,24,100,0,100,0,100,0,100,22,100,0,100,0,100,0,80,20,100,22,100,31,100,0,100,155,93,0,100,4188816,100,8145362,100,756000000000.0,100,0,0,0
100118,20180909,MA2,100,0,100,29528,100,24,100,0,100,0,100,0,100,22,100,0,100,0,100,0,81,19,100,22,100,30,100,0,100,155,93,0,100,4168596,100,8104942,100,752000000000.0,100,0,0,0
100118,20180908,MA2,100,0,100,29504,100,24,100,0,100,0,100,0,100,22,100,0,100,0,100,0,81,19,100,22,100,30,100,0,100,155,93,0,100,4158058,100,8083733,100,752000000000.0,100,0,0,0
100118,20180907,MA2,100,0,100,29480,100,24,100,0,100,0,100,0,100,22,100,0,100,0,100,0,81,19,100,22,100,30,100,0,100,155,93,0,100,4149093,100,8067031,100,752000000000.0,100,0,0,0
100118,20180906,MA2,100,0,100,29456,100,24,100,0,100,0,100,0,100,22,100,0,100,0,100,0,81,19,100,22,100,30,100,0,100,155,93,0,100,4136649,100,8043232,100,752000000000.0,100,0,0,0
100118,20180905,MA2,100,0,100,29433,100,24,100,0,100,0,100,0,100,22,100,0,100,0,100,0,81,19,100,22,100,30,100,0,100,155,93,0,100,4127335,100,8025850,100,752000000000.0,100,0,0,0
100118,20180904,MA2,100,0,100,29409,100,24,100,0,100,0,100,0,100,22,100,0,100,0,100,0,81,19,100,22,100,30,100,0,100,155,93,0,100,4115967,100,8004372,100,752000000000.0,100,0,0,0
100074,20190131,MA2,100,0,100,25780,100,36,100,0,100,0,100,0,100,34,100,0,100,0,100,0,88,12,100,34,100,23,100,0,100,0,93,0,100,3673677,100,305122,100,658000000000.0,100,0,0,0
100074,20190129,MA2,100,0,100,25732,100,36,100,0,100,0,100,0,100,34,100,0,100,0,100,0,87,13,100,34,100,24,100,0,100,0,93,0,100,3673474,100,305122,100,658000000000.0,100,0,0,0
100074,20190128,MA2,100,0,100,25708,100,36,100,0,100,0,100,0,100,34,100,0,100,0,100,0,88,12,100,34,100,23,100,0,100,0,93,0,100,3673374,100,305122,100,657000000000.0,100,0,0,0
100074,20190127,MA2,100,0,100,25685,100,36,100,0,100,0,100,0,100,34,100,0,100,0,100,0,87,13,100,34,100,24,100,0,100,0,93,0,100,3673274,100,305122,100,657000000000.0,100,0,0,0
100074,20190125,MA2,100,0,100,25637,100,36,100,0,100,0,100,0,100,34,100,0,100,0,100,0,89,11,100,34,100,22,100,0,100,0,93,0,100,3673074,100,305122,100,657000000000.0,100,0,0,0
100178,20191204,MA2,100,0,100,38472,100,17,100,0,100,0,100,0,100,13,100,0,100,0,100,0,87,13,100,13,100,24,100,0,100,0,63,0,100,10612382,100,875565,100,971000000000.0,100,0,0,0
100178,20191203,MA2,100,0,100,38448,100,17,100,0,100,0,100,0,100,13,100,0,100,0,100,0,87,13,100,13,100,24,100,0,100,0,63,0,100,10611730,100,875565,100,971000000000.0,100,0,0,0
100178,20191202,MA2,100,0,100,38424,100,17,100,0,100,0,100,0,100,13,100,0,100,0,100,0,87,13,100,13,100,24,100,0,100,0,63,0,100,10611079,100,875565,100,971000000000.0,100,0,0,0
100178,20191201,MA2,100,0,100,38400,100,17,100,0,100,0,100,0,100,13,100,0,100,0,100,0,87,13,100,13,100,24,100,0,100,0,63,0,100,10610254,100,875565,100,971000000000.0,100,0,0,0
100178,20191130,MA2,100,0,100,38376,100,17,100,0,100,0,100,0,100,13,100,0,100,0,100,0,87,13,100,13,100,24,100,0,100,0,63,0,100,10609285,100,875564,100,971000000000.0,100,0,0,0
100178,20191129,MA2,100,0,100,38352,100,17,100,0,100,0,100,0,100,13,100,0,100,0,100,0,87,13,100,13,100,24,100,0,100,0,63,0,100,10608310,100,875563,100,971000000000.0,100,0,0,0
100178,20191128,MA2,100,0,100,38328,100,17,100,0,100,0,100,0,100,13,100,0,100,0,100,0,87,13,100,13,100,24,100,0,100,0,63,0,100,10607176,100,875562,100,967000000000.0,100,0,0,0
100165,20180813,MA2,100,2,100,35627,100,11,99,0,100,4,100,0,100,5,100,0,100,0,100,0,84,16,100,5,100,27,100,0,100,0,85,0,100,9130169,100,15742289,100,907000000000.0,99,0,0,0
100165,20180812,MA2,100,2,100,35603,100,11,99,0,100,4,100,0,100,5,100,0,100,0,100,0,83,17,100,5,100,28,100,0,100,0,85,0,100,9130144,100,15742279,100,907000000000.0,99,0,0,0
100165,20180811,MA2,100,2,100,35579,100,11,99,0,100,4,100,0,100,5,100,0,100,0,100,0,83,17,100,5,100,28,100,0,100,0,85,0,100,9130117,100,15742269,100,907000000000.0,99,0,0,0
100165,20180810,MA2,100,2,100,35555,100,11,99,0,100,4,100,0,100,5,100,0,100,0,100,0,83,17,100,5,100,28,100,0,100,0,85,0,100,9130093,100,15742260,100,907000000000.0,99,0,0,0
100165,20180809,MA2,100,2,100,35531,100,11,99,0,100,4,100,0,100,5,100,0,100,0,100,0,83,17,100,5,100,28,100,0,100,0,85,0,100,9130073,100,15742253,100,907000000000.0,99,0,0,0
100165,20180808,MA2,100,2,100,35507,100,11,99,0,100,4,100,0,100,5,100,0,100,0,100,0,83,17,100,5,100,28,100,0,100,0,85,0,100,9130039,100,15742241,100,906000000000.0,99,0,0,0
100165,20180807,MA2,100,2,100,35483,100,11,99,0,100,4,100,0,100,5,100,0,100,0,100,0,83,17,100,5,100,28,100,0,100,0,85,0,100,9130018,100,15742233,100,906000000000.0,99,0,0,0
10009,20181213,MA2,100,0,100,29575,100,32,100,0,100,0,100,0,100,29,100,0,100,0,100,0,83,17,100,29,100,28,100,0,100,37,87,0,100,5434777,100,1895396,100,752000000000.0,100,0,0,0
10009,20181212,MA2,100,0,100,29551,100,32,100,0,100,0,100,0,100,29,100,0,100,0,100,0,84,16,100,29,100,27,100,0,100,37,87,0,100,5419573,100,1894241,100,752000000000.0,100,0,0,0
10009,20181211,MA2,100,0,100,29527,100,32,100,0,100,0,100,0,100,29,100,0,100,0,100,0,83,17,100,29,100,28,100,0,100,37,87,0,100,5402609,100,1892974,100,752000000000.0,100,0,0,0
10009,20181210,MA2,100,0,100,29504,100,32,100,0,100,0,100,0,100,29,100,0,100,0,100,0,83,17,100,29,100,28,100,0,100,37,88,0,100,5388104,100,1891837,100,752000000000.0,100,0,0,0
10009,20181209,MA2,100,0,100,29480,100,32,100,0,100,0,100,0,100,29,100,0,100,0,100,0,83,17,100,29,100,28,100,0,100,37,88,0,100,5372071,100,1890629,100,752000000000.0,100,0,0,0
10009,20181208,MA2,100,0,100,29456,100,32,100,0,100,0,100,0,100,29,100,0,100,0,100,0,83,17,100,29,100,28,100,0,100,37,88,0,100,5351914,100,1889161,100,752000000000.0,100,0,0,0
10009,20181207,MA2,100,0,100,29432,100,32,100,0,100,0,100,0,100,29,100,0,100,0,100,0,83,17,100,29,100,28,100,0,100,37,88,0,100,5332459,100,1887804,100,748000000000.0,100,0,0,0
100149,20180730,MA2,100,0,100,19154,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,84,16,100,7,100,27,100,0,100,0,98,0,100,804126,100,2772030,100,490000000000.0,100,0,0,0
100149,20180729,MA2,100,0,100,19131,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,84,16,100,7,100,27,100,0,100,0,98,0,100,802800,100,2771896,100,490000000000.0,100,0,0,0
100149,20180728,MA2,100,0,100,19107,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,84,16,100,7,100,27,100,0,100,0,98,0,100,801431,100,2771761,100,490000000000.0,100,0,0,0
100149,20180727,MA2,100,0,100,19083,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,84,16,100,7,100,27,100,0,100,0,98,0,100,800129,100,2771629,100,490000000000.0,100,0,0,0
100149,20180726,MA2,100,0,100,19059,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,84,16,100,7,100,27,100,0,100,0,98,0,100,798786,100,2747638,100,490000000000.0,100,0,0,0
100149,20180725,MA2,100,0,100,19035,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,84,16,100,7,100,27,100,0,100,0,98,0,100,797413,100,2747485,100,490000000000.0,100,0,0,0
100149,20180724,MA2,100,0,100,19011,100,11,100,0,100,0,100,0,100,7,100,0,100,0,100,0,84,16,100,7,100,27,100,0,100,0,98,0,100,796093,100,2747340,100,490000000000.0,100,0,0,0
100131,20180918,MA2,100,0,100,26665,100,17,100,0,100,0,100,0,100,15,100,0,100,0,100,0,82,18,100,15,100,29,100,0,100,57,98,0,100,940167,100,737263,100,683000000000.0,100,0,0,0
100131,20180917,MA2,100,0,100,26641,100,17,100,0,100,0,100,0,100,15,100,0,100,0,100,0,82,18,100,15,100,29,100,0,100,57,98,0,100,938252,100,736442,100,683000000000.0,100,0,0,0
100131,20180916,MA2,100,0,100,26617,100,17,100,0,100,0,100,0,100,15,100,0,100,0,100,0,82,18,100,15,100,29,100,0,100,57,98,0,100,936089,100,735530,100,683000000000.0,100,0,0,0
100131,20180915,MA2,100,0,100,26593,100,17,100,0,100,0,100,0,100,15,100,0,100,0,100,0,83,17,100,15,100,28,100,0,100,57,98,0,100,934082,100,734720,100,683000000000.0,100,0,0,0
100131,20180914,MA2,100,0,100,26569,100,17,100,0,100,0,100,0,100,15,100,0,100,0,100,0,82,18,100,15,100,29,100,0,100,57,98,0,100,931916,100,733892,100,683000000000.0,100,0,0,0
100131,20180913,MA2,100,0,100,26545,100,17,100,0,100,0,100,0,100,15,100,0,100,0,100,0,83,17,100,15,100,28,100,0,100,57,98,0,100,929243,100,733136,100,679000000000.0,100,0,0,0
100131,20180912,MA2,100,0,100,26521,100,17,100,0,100,0,100,0,100,15,100,0,100,0,100,0,83,17,100,15,100,28,100,0,100,57,98,0,100,927276,100,732501,100,679000000000.0,100,0,0,0
100210,20180713,MA2,100,0,100,35331,100,20,100,0,100,0,100,0,100,16,100,0,100,0,100,0,87,13,100,16,100,24,100,0,100,0,87,0,100,5601782,100,8866488,100,898000000000.0,100,0,0,0
100210,20180712,MA2,100,0,100,35307,100,20,100,0,100,0,100,0,100,16,100,0,100,0,100,0,86,14,100,16,100,25,100,0,100,0,87,0,100,5596674,100,8865702,100,898000000000.0,100,0,0,0
100210,20180711,MA2,100,0,100,35283,100,20,100,0,100,0,100,0,100,16,100,0,100,0,100,0,87,13,100,16,100,24,100,0,100,0,87,0,100,5591624,100,8864849,100,898000000000.0,100,0,0,0
100210,20180710,MA2,100,0,100,35259,100,20,100,0,100,0,100,0,100,16,100,0,100,0,100,0,87,13,100,16,100,24,100,0,100,0,87,0,100,5587524,100,8864101,100,898000000000.0,100,0,0,0
100210,20180709,MA2,100,0,100,35235,100,20,100,0,100,0,100,0,100,16,100,0,100,0,100,0,87,13,100,16,100,24,100,0,100,0,87,0,100,5583419,100,8863268,100,898000000000.0,100,0,0,0
100210,20180708,MA2,100,0,100,35211,100,20,100,0,100,0,100,0,100,16,100,0,100,0,100,0,87,13,100,16,100,24,100,0,100,0,87,0,100,5579391,100,8862540,100,894000000000.0,100,0,0,0
100210,20180707,MA2,100,0,100,35187,100,20,100,0,100,0,100,0,100,16,100,0,100,0,100,0,87,13,100,16,100,24,100,0,100,0,87,0,100,5575556,100,8861933,100,894000000000.0,100,0,0,0
100396,20191127,MA2,100,0,100,45983,100,14,100,0,100,0,100,0,100,9,100,0,100,0,100,0,89,11,100,9,100,22,100,0,100,0,93,0,100,2024479,100,3006870,100,1170000000000.0,100,0,0,0
100396,20191126,MA2,100,0,100,45959,100,14,100,0,100,0,100,0,100,9,100,0,100,0,100,0,89,11,100,9,100,22,100,0,100,0,93,0,100,2024311,100,3006850,100,1170000000000.0,100,0,0,0
100396,20191125,MA2,100,0,100,45930,100,14,100,0,100,0,100,0,100,9,100,0,100,0,100,0,89,11,100,9,100,22,100,0,100,0,93,0,100,2024114,100,3006821,100,1170000000000.0,100,0,0,0
100396,20191124,MA2,100,0,100,45906,100,14,100,0,100,0,100,0,100,9,100,0,100,0,100,0,89,11,100,9,100,22,100,0,100,0,93,0,100,2023948,100,3006799,100,1170000000000.0,100,0,0,0
100396,20191123,MA2,100,0,100,45883,100,14,100,0,100,0,100,0,100,9,100,0,100,0,100,0,89,11,100,9,100,22,100,0,100,0,93,0,100,2023774,100,3006777,100,1170000000000.0,100,0,0,0
100396,20191122,MA2,100,0,100,45859,100,14,100,0,100,0,100,0,100,9,100,0,100,0,100,0,89,11,100,9,100,22,100,0,100,0,93,0,100,2023597,100,3006755,100,1170000000000.0,100,0,0,0
100396,20191121,MA2,100,0,100,45835,100,14,100,0,100,0,100,0,100,9,100,0,100,0,100,0,89,11,100,9,100,22,100,0,100,0,93,0,100,2023424,100,3006733,100,1170000000000.0,100,0,0,0
