disk_id,ds,model,n_1,r_1,n_2,r_2,n_3,r_3,n_4,r_4,n_5,r_5,n_6,r_6,n_7,r_7,n_8,r_8,n_9,r_9,n_10,r_10,n_11,r_11,n_12,r_12,n_13,r_13,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_189,r_189,n_190,r_190,n_191,r_191,n_192,r_192,n_193,r_193,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_200,r_200,n_204,r_204,n_205,r_205,n_206,r_206,n_207,r_207,n_211,r_211,n_233,r_233,n_240,r_240,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,n_175,r_175,n_232,r_232,is_null,is_broken
100077,20181025,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,27647,-1,-1,-1,-1,100,14,-1,-1,100,0,100,0,100,0,-1,-1,100,11,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,83,17,-1,-1,100,11,-1,-1,100,28,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,-1,-1,100,4668631,100,194885,-1,-1,-1,-1,100,7.00E+11,100,0,0,0
100077,20181024,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,27623,-1,-1,-1,-1,100,14,-1,-1,100,0,100,0,100,0,-1,-1,100,11,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,83,17,-1,-1,100,11,-1,-1,100,28,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,-1,-1,100,4660375,100,194837,-1,-1,-1,-1,100,7.00E+11,100,0,0,0
100077,20181023,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,27599,-1,-1,-1,-1,100,14,-1,-1,100,0,100,0,100,0,-1,-1,100,11,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,84,16,-1,-1,100,11,-1,-1,100,27,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,-1,-1,100,4650862,100,194833,-1,-1,-1,-1,100,6.96E+11,100,0,0,0
100077,20181022,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,27575,-1,-1,-1,-1,100,14,-1,-1,100,0,100,0,100,0,-1,-1,100,11,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,84,16,-1,-1,100,11,-1,-1,100,27,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,-1,-1,100,4639692,100,194760,-1,-1,-1,-1,100,6.96E+11,100,0,0,0
100077,20181021,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,27551,-1,-1,-1,-1,100,14,-1,-1,100,0,100,0,100,0,-1,-1,100,11,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,83,17,-1,-1,100,11,-1,-1,100,28,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,-1,-1,100,4630720,100,194622,-1,-1,-1,-1,100,6.96E+11,100,0,0,0
100077,20181020,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,27527,-1,-1,-1,-1,100,14,-1,-1,100,0,100,0,100,0,-1,-1,100,11,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,84,16,-1,-1,100,11,-1,-1,100,27,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,-1,-1,100,4622436,100,194473,-1,-1,-1,-1,100,6.96E+11,100,0,0,0
100077,20181019,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,27503,-1,-1,-1,-1,100,14,-1,-1,100,0,100,0,100,0,-1,-1,100,11,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,84,16,-1,-1,100,11,-1,-1,100,27,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,-1,-1,100,4614497,100,194424,-1,-1,-1,-1,100,6.96E+11,100,0,0,0
100033,20181220,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,23239,-1,-1,-1,-1,100,18,-1,-1,100,0,100,0,100,0,-1,-1,100,13,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,84,16,-1,-1,100,13,-1,-1,100,27,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,100,23690,100,3366229,-1,-1,-1,-1,100,5.93E+11,100,0,0,0
100033,20181219,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,23215,-1,-1,-1,-1,100,18,-1,-1,100,0,100,0,100,0,-1,-1,100,13,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,85,15,-1,-1,100,13,-1,-1,100,26,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,100,23690,100,3342399,-1,-1,-1,-1,100,5.93E+11,100,0,0,0
100033,20181218,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,23191,-1,-1,-1,-1,100,18,-1,-1,100,0,100,0,100,0,-1,-1,100,13,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,85,15,-1,-1,100,13,-1,-1,100,26,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,100,23690,100,3342399,-1,-1,-1,-1,100,5.93E+11,100,0,0,0
100033,20181217,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,23167,-1,-1,-1,-1,100,18,-1,-1,100,0,100,0,100,0,-1,-1,100,13,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,84,16,-1,-1,100,13,-1,-1,100,27,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,100,23690,100,3342399,-1,-1,-1,-1,100,5.93E+11,100,0,0,0
100033,20181216,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,23143,-1,-1,-1,-1,100,18,-1,-1,100,0,100,0,100,0,-1,-1,100,13,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,85,15,-1,-1,100,13,-1,-1,100,26,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,100,23690,100,3342399,-1,-1,-1,-1,100,5.93E+11,100,0,0,0
100033,20181215,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,23119,-1,-1,-1,-1,100,18,-1,-1,100,0,100,0,100,0,-1,-1,100,13,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,85,15,-1,-1,100,13,-1,-1,100,26,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,100,23690,100,3342399,-1,-1,-1,-1,100,5.93E+11,100,0,0,0
100033,20181214,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,23095,-1,-1,-1,-1,100,18,-1,-1,100,0,100,0,100,0,-1,-1,100,13,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,85,15,-1,-1,100,13,-1,-1,100,26,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,100,23690,100,3342399,-1,-1,-1,-1,100,5.93E+11,100,0,0,0
100150,20191204,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,30906,-1,-1,-1,-1,100,11,-1,-1,100,0,100,0,100,0,-1,-1,100,7,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,82,18,-1,-1,100,7,-1,-1,100,29,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,0,-1,-1,100,1905316,100,4567807,-1,-1,-1,-1,100,7.91E+11,100,0,0,0
100150,20191203,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,30882,-1,-1,-1,-1,100,11,-1,-1,100,0,100,0,100,0,-1,-1,100,7,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,83,17,-1,-1,100,7,-1,-1,100,28,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,0,-1,-1,100,1902606,100,4567499,-1,-1,-1,-1,100,7.91E+11,100,0,0,0
100150,20191202,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,30858,-1,-1,-1,-1,100,11,-1,-1,100,0,100,0,100,0,-1,-1,100,7,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,83,17,-1,-1,100,7,-1,-1,100,28,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,0,-1,-1,100,1899859,100,4567179,-1,-1,-1,-1,100,7.91E+11,100,0,0,0
100150,20191201,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,30834,-1,-1,-1,-1,100,11,-1,-1,100,0,100,0,100,0,-1,-1,100,7,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,83,17,-1,-1,100,7,-1,-1,100,28,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,0,-1,-1,100,1897154,100,4566849,-1,-1,-1,-1,100,7.91E+11,100,0,0,0
100150,20191130,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,30810,-1,-1,-1,-1,100,11,-1,-1,100,0,100,0,100,0,-1,-1,100,7,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,82,18,-1,-1,100,7,-1,-1,100,29,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,0,-1,-1,100,1894391,100,4566506,-1,-1,-1,-1,100,7.91E+11,100,0,0,0
100150,20191129,MA2,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,30786,-1,-1,-1,-1,100,11,-1,-1,100,0,100,0,100,0,-1,-1,100,7,-1,-1,-1,-1,-1,-1,-1,-1,100,0,100,0,100,0,-1,-1,-1,-1,82,18,-1,-1,100,7,-1,-1,100,29,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,0,-1,-1,100,1891515,100,4566147,-1,-1,-1,-1,100,7.90E+11,100,0,0,0
