disk_id,ds,model,n_1,r_1,n_5,r_5,n_9,r_9,n_12,r_12,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_180,r_180,n_184,r_184,n_187,r_187,n_188,r_188,n_190,r_190,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_175,r_175,is_null,is_broken
10070,20180724,MA1,130,4294967295,96,0,100,42553,100,25,100,0,100,0,96,0,100,22,130,4294967295.0,100,0,100,0,100,0,87,13,100,13,100,41120003,100,0,100,0,100,0,100,0,100,1090000000000.0,0,0
10070,20180723,MA1,130,4294967295,96,0,100,42529,100,25,100,0,100,0,96,0,100,22,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,41119999,100,0,100,0,100,0,100,0,100,1090000000000.0,0,0
10070,20180722,MA1,130,4294967295,96,0,100,42505,100,25,100,0,100,0,96,0,100,22,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,41119994,100,0,100,0,100,0,100,0,100,1090000000000.0,0,0
10070,20180721,MA1,130,4294967295,96,0,100,42481,100,25,100,0,100,0,96,0,100,22,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,41119993,100,0,100,0,100,0,100,0,100,1090000000000.0,0,0
10070,20180720,MA1,130,4294967295,96,0,100,42458,100,25,100,0,100,0,96,0,100,22,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,41119989,100,0,100,0,100,0,100,0,100,1090000000000.0,0,0
10070,20180719,MA1,130,4294967295,96,0,100,42434,100,25,100,0,100,0,96,0,100,22,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,41119988,100,0,100,0,100,0,100,0,100,1080000000000.0,0,0
10070,20180718,MA1,130,4294967295,96,0,100,42410,100,25,100,0,100,0,96,0,100,22,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,41119987,100,0,100,0,100,0,100,0,100,1080000000000.0,0,0
10166,20190322,MA1,130,4294967295,96,0,100,39429,-1,-1,-1,-1,-1,-1,97,0,-1,-1,130,4294967295.0,-1,-1,-1,-1,-1,-1,-1,-1,100,14,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,993000000000.0,0,0
10166,20190321,MA1,130,4294967295,96,0,100,39405,-1,-1,-1,-1,-1,-1,97,0,-1,-1,130,4294967295.0,-1,-1,-1,-1,-1,-1,-1,-1,100,13,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,993000000000.0,0,0
10166,20190320,MA1,130,4294967295,96,0,100,39381,-1,-1,-1,-1,-1,-1,97,0,-1,-1,130,4294967295.0,-1,-1,-1,-1,-1,-1,-1,-1,100,14,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,993000000000.0,0,0
10166,20190319,MA1,130,4294967295,96,0,100,39357,-1,-1,-1,-1,-1,-1,97,0,-1,-1,130,4294967295.0,-1,-1,-1,-1,-1,-1,-1,-1,100,13,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,992000000000.0,0,0
10166,20190318,MA1,130,4294967295,96,0,100,39333,-1,-1,-1,-1,-1,-1,97,0,-1,-1,130,4294967295.0,-1,-1,-1,-1,-1,-1,-1,-1,100,13,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,992000000000.0,0,0
10166,20190317,MA1,130,4294967295,96,0,100,39309,-1,-1,-1,-1,-1,-1,97,0,-1,-1,130,4294967295.0,-1,-1,-1,-1,-1,-1,-1,-1,100,14,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,992000000000.0,0,0
10166,20190316,MA1,130,4294967295,96,0,100,39286,-1,-1,-1,-1,-1,-1,97,0,-1,-1,130,4294967295.0,-1,-1,-1,-1,-1,-1,-1,-1,100,13,-1,-1,100,0,-1,-1,-1,-1,-1,-1,100,992000000000.0,0,0
10181,20190322,MA1,130,4294967295,97,0,100,47816,100,59,100,0,100,0,87,0,100,56,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,146097541,100,0,100,0,100,0,100,0,100,1210000000000.0,0,0
10181,20190321,MA1,130,4294967295,97,0,100,47792,100,59,100,0,100,0,87,0,100,56,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,146097539,100,0,100,0,100,0,100,0,100,1210000000000.0,0,0
10181,20190320,MA1,130,4294967295,97,0,100,47768,100,59,100,0,100,0,87,0,100,56,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,146097538,100,0,100,0,100,0,100,0,100,1210000000000.0,0,0
10181,20190319,MA1,130,4294967295,97,0,100,47745,100,59,100,0,100,0,87,0,100,56,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,146097538,100,0,100,0,100,0,100,0,100,1210000000000.0,0,0
10181,20190318,MA1,130,4294967295,97,0,100,47721,100,59,100,0,100,0,87,0,100,56,130,4294967295.0,100,0,100,0,100,0,85,15,100,15,100,146097536,100,0,100,0,100,0,100,0,100,1210000000000.0,0,0
10181,20190317,MA1,130,4294967295,97,0,100,47697,100,59,100,0,100,0,87,0,100,56,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,146097536,100,0,100,0,100,0,100,0,100,1210000000000.0,0,0
10181,20190316,MA1,130,4294967295,97,0,100,47673,100,59,100,0,100,0,87,0,100,56,130,4294967295.0,100,0,100,0,100,0,86,14,100,14,100,146097535,100,0,100,0,100,0,100,0,100,1210000000000.0,0,0
10286,20180812,MA1,130,4294967295,98,0,100,31012,100,35,100,0,100,0,26,0,100,33,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,1247067718,100,0,100,0,100,0,100,0,100,782000000000.0,0,0
10286,20180811,MA1,130,4294967295,98,0,100,30988,100,35,100,0,100,0,26,0,100,33,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,1246609518,100,0,100,0,100,0,100,0,100,778000000000.0,0,0
10286,20180810,MA1,130,4294967295,98,0,100,30964,100,35,100,0,100,0,26,0,100,33,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,1246075359,100,0,100,0,100,0,100,0,100,778000000000.0,0,0
10286,20180809,MA1,130,4294967295,98,0,100,30940,100,35,100,0,100,0,26,0,100,33,130,4294967295.0,100,0,100,0,100,0,84,16,100,16,100,1245483899,100,0,100,0,100,0,100,0,100,778000000000.0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
10286,20180807,MA1,130,4294967295,98,0,100,30892,100,35,100,0,100,0,26,0,100,33,130,4294967295.0,100,0,100,0,100,0,83,17,100,17,100,1244423684,100,0,100,0,100,0,100,0,100,778000000000.0,0,0
