disk_id,ds,model,n_1,r_1,n_5,r_5,n_9,r_9,n_12,r_12,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_180,r_180,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_206,r_206,n_211,r_211,is_null,is_broken
15560,20190614,MC2,100,4,100,51,100,17181,100,35,100,51,100,0,100,0,90,349,100,23,0,7615,100,0,100,0,100,0,100,24,46,54,100,4,100,51,100,0,100,2,100,0,100,0,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
15560,20190612,MC2,100,4,100,51,100,17133,100,35,100,51,100,0,100,0,90,348,100,23,0,7615,100,0,100,0,100,0,100,24,44,56,100,4,100,51,100,0,100,0,100,0,100,0,-1,-1,0,1
15560,20190611,MC2,100,4,100,51,100,17109,100,35,100,51,100,0,100,0,90,347,100,23,0,7615,100,0,100,0,100,0,100,24,45,55,100,4,100,51,100,0,100,0,100,0,100,0,-1,-1,0,1
15560,20190610,MC2,100,4,100,51,100,17085,100,35,100,51,100,0,100,0,90,346,100,23,0,7615,100,0,100,0,100,0,100,24,46,54,100,4,100,51,100,0,100,0,100,0,100,0,-1,-1,0,1
15560,20190609,MC2,100,4,100,51,100,17061,100,35,100,51,100,0,100,0,90,345,100,23,0,7615,100,0,100,0,100,0,100,24,47,53,100,4,100,51,100,0,100,0,100,0,100,0,-1,-1,0,1
15560,20190608,MC2,100,4,100,51,100,17037,100,35,100,51,100,0,100,0,90,345,100,23,0,7615,100,0,100,0,100,0,100,24,46,54,100,4,100,51,100,0,100,0,100,0,100,0,-1,-1,0,1
12213,20181007,MC2,100,2,100,6,100,736,100,2,100,6,100,0,100,0,100,9,100,1,0,7660,100,0,100,0,100,2,100,2,54,46,100,0,100,6,100,0,100,0,100,0,100,0,-1,-1,0,1
12213,20181006,MC2,100,0,100,2,100,712,100,2,100,2,100,0,100,0,100,9,100,1,0,7664,100,0,100,0,100,0,100,2,54,46,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
12213,20181005,MC2,100,0,100,2,100,688,100,2,100,2,100,0,100,0,100,9,100,1,0,7664,100,0,100,0,100,0,100,2,54,46,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
12213,20181004,MC2,100,0,100,2,100,664,100,2,100,2,100,0,100,0,100,9,100,1,0,7664,100,0,100,0,100,0,100,2,54,46,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
12213,20181003,MC2,100,0,100,2,100,640,100,2,100,2,100,0,100,0,100,8,100,1,0,7664,100,0,100,0,100,0,100,2,53,47,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
12213,20181002,MC2,100,0,100,2,100,616,100,2,100,2,100,0,100,0,100,8,100,1,0,7664,100,0,100,0,100,0,100,2,54,46,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
12213,20181001,MC2,100,0,100,2,100,592,100,2,100,2,100,0,100,0,100,8,100,1,0,7664,100,0,100,0,100,0,100,2,54,46,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
4375,20181126,MC2,100,0,100,10,100,1979,100,26,100,10,100,0,100,0,99,52,100,23,0,7656,100,0,100,0,100,0,100,28,55,45,100,0,100,10,100,0,100,0,100,0,100,0,-1,-1,0,1
4375,20181125,MC2,100,0,100,10,100,1955,100,26,100,10,100,0,100,0,99,51,100,23,0,7656,100,0,100,0,100,0,100,28,55,45,100,0,100,10,100,0,100,0,100,0,100,0,-1,-1,0,1
4375,20181124,MC2,100,0,100,2,100,1931,100,26,100,2,100,0,100,0,99,51,100,23,0,7664,100,0,100,0,100,0,100,28,56,44,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
4375,20181123,MC2,100,0,100,2,100,1907,100,26,100,2,100,0,100,0,99,50,100,23,0,7664,100,0,100,0,100,0,100,28,57,43,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
4375,20181122,MC2,100,0,100,2,100,1883,100,26,100,2,100,0,100,0,99,50,100,23,0,7664,100,0,100,0,100,0,100,28,57,43,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
4375,20181121,MC2,100,0,100,2,100,1859,100,26,100,2,100,0,100,0,99,50,100,23,0,7664,100,0,100,0,100,0,100,28,58,42,100,0,100,2,100,0,100,0,100,0,100,0,-1,-1,0,1
20141,20181010,MC2,100,1,100,1,100,1406,100,11,100,1,100,0,100,0,100,26,100,10,0,7665,100,0,100,0,100,0,100,17,55,45,100,1,100,1,100,0,100,0,100,0,100,0,-1,-1,0,1
20141,20181009,MC2,100,1,100,1,100,1382,100,11,100,1,100,0,100,0,100,26,100,10,0,7665,100,0,100,0,100,0,100,17,54,46,100,1,100,1,100,0,100,0,100,0,100,0,-1,-1,0,1
20141,20181008,MC2,100,1,100,1,100,1358,100,11,100,1,100,0,100,0,100,26,100,10,0,7665,100,0,100,0,100,0,100,17,55,45,100,1,100,1,100,0,100,0,100,0,100,0,-1,-1,0,1
20141,20181007,MC2,100,1,100,1,100,1334,100,11,100,1,100,0,100,0,100,26,100,10,0,7665,100,0,100,0,100,0,100,17,55,45,100,1,100,1,100,0,100,0,100,0,100,0,-1,-1,0,1
20141,20181006,MC2,100,1,100,1,100,1310,100,11,100,1,100,0,100,0,100,25,100,10,0,7665,100,0,100,0,100,0,100,17,54,46,100,1,100,1,100,0,100,0,100,0,100,0,-1,-1,0,1
20141,20181005,MC2,100,1,100,1,100,1286,100,11,100,1,100,0,100,0,100,25,100,10,0,7665,100,0,100,0,100,0,100,17,54,46,100,1,100,1,100,0,100,0,100,0,100,0,-1,-1,0,1
20141,20181004,MC2,100,1,100,1,100,1262,100,11,100,1,100,0,100,0,100,25,100,10,0,7665,100,0,100,0,100,0,100,17,55,45,100,1,100,1,100,0,100,0,100,0,100,0,-1,-1,0,1
