disk_id,ds,model,n_1,r_1,n_5,r_5,n_9,r_9,n_12,r_12,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_180,r_180,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_206,r_206,is_null,is_broken
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
85655,20180609,MC1,100,0,100,0,100,12081,100,37,100,0,100,0,100,0,98,103,100,11,0,13043,100,0,100,0,100,0,100,168,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
85655,20180608,MC1,100,0,100,0,100,12057,100,37,100,0,100,0,100,0,98,103,100,11,0,13043,100,0,100,0,100,0,100,168,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
85655,20180607,MC1,100,0,100,0,100,12033,100,37,100,0,100,0,100,0,98,102,100,11,0,13043,100,0,100,0,100,0,100,168,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
85655,20180606,MC1,100,0,100,0,100,12009,100,37,100,0,100,0,100,0,98,101,100,11,0,13043,100,0,100,0,100,0,100,168,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
85655,20180605,MC1,100,0,100,0,100,11985,100,37,100,0,100,0,100,0,98,101,100,11,0,13043,100,0,100,0,100,0,100,168,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
85655,20180604,MC1,100,0,100,0,100,11961,100,37,100,0,100,0,100,0,98,101,100,11,0,13043,100,0,100,0,100,0,100,168,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
191870,20181208,MC1,100,0,100,0,100,16450,100,38,100,0,100,0,100,0,96,220,100,10,0,13013,100,0,100,0,100,0,100,174,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191870,20181207,MC1,100,0,100,0,100,16426,100,38,100,0,100,0,100,0,96,220,100,10,0,13013,100,0,100,0,100,0,100,174,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191870,20181206,MC1,100,0,100,0,100,16402,100,38,100,0,100,0,100,0,96,219,100,10,0,13013,100,0,100,0,100,0,100,174,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191870,20181205,MC1,100,0,100,0,100,16378,100,38,100,0,100,0,100,0,96,218,100,10,0,13013,100,0,100,0,100,0,100,174,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191870,20181204,MC1,100,0,100,0,100,16354,100,38,100,0,100,0,100,0,96,218,100,10,0,13013,100,0,100,0,100,0,100,174,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191870,20181203,MC1,100,0,100,0,100,16330,100,38,100,0,100,0,100,0,96,217,100,10,0,13013,100,0,100,0,100,0,100,174,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
191866,20191001,MC1,100,0,100,0,100,23577,100,42,100,0,100,0,100,0,92,519,100,11,0,12879,100,0,100,0,100,0,100,209,72,28,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191866,20190930,MC1,100,0,100,0,100,23553,100,42,100,0,100,0,100,0,92,517,100,11,0,12879,100,0,100,0,100,0,100,209,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191866,20190929,MC1,100,0,100,0,100,23529,100,42,100,0,100,0,100,0,92,514,100,11,0,12879,100,0,100,0,100,0,100,209,73,27,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191866,20190928,MC1,100,0,100,0,100,23505,100,42,100,0,100,0,100,0,92,512,100,11,0,12879,100,0,100,0,100,0,100,209,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191866,20190927,MC1,100,0,100,0,100,23481,100,42,100,0,100,0,100,0,92,509,100,11,0,12879,100,0,100,0,100,0,100,209,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
191866,20190926,MC1,100,0,100,0,100,23457,100,42,100,0,100,0,100,0,92,507,100,11,0,12879,100,0,100,0,100,0,100,209,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
8098,20191019,MC1,100,0,100,0,100,24002,100,53,100,0,100,0,100,0,93,468,100,12,0,12755,100,0,100,0,100,0,100,185,76,24,100,0,100,0,100,0,100,0,100,0,100,0,0,1
