disk_id,ds,model,n_1,r_1,n_5,r_5,n_9,r_9,n_12,r_12,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_180,r_180,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_206,r_206,is_null,is_broken
100038,20190222,MC1,100,0,100,0,100,7298,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100038,20190221,MC1,100,0,100,0,100,7274,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,80,20,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100038,20190220,MC1,100,0,100,0,100,7250,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,80,20,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100038,20190219,MC1,100,0,100,0,100,7226,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,80,20,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100038,20190218,MC1,100,0,100,0,100,7202,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100038,20190217,MC1,100,0,100,0,100,7178,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,80,20,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100038,20190216,MC1,100,0,100,0,100,7154,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100037,20181217,MC1,100,0,100,0,100,5690,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100037,20181216,MC1,100,0,100,0,100,5666,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100037,20181215,MC1,100,0,100,0,100,5642,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100037,20181214,MC1,100,0,100,0,100,5618,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100037,20181213,MC1,100,0,100,0,100,5594,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,80,20,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100037,20181212,MC1,100,0,100,0,100,5570,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100037,20181211,MC1,100,0,100,0,100,5546,100,12,100,0,100,0,100,0,100,1,100,6,0,13363,100,0,100,0,100,0,100,22,81,19,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100077,20190322,MC1,100,0,100,0,100,10457,100,12,100,0,100,0,100,0,94,393,100,8,0,13363,100,0,100,0,100,0,100,90,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100077,20190321,MC1,100,0,100,0,100,10433,100,12,100,0,100,0,100,0,94,392,100,8,0,13363,100,0,100,0,100,0,100,90,76,24,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100077,20190320,MC1,100,0,100,0,100,10409,100,12,100,0,100,0,100,0,94,391,100,8,0,13363,100,0,100,0,100,0,100,90,76,24,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100077,20190319,MC1,100,0,100,0,100,10385,100,12,100,0,100,0,100,0,94,390,100,8,0,13363,100,0,100,0,100,0,100,90,76,24,100,0,100,0,100,0,100,0,100,0,100,0,0,0
100077,20190318,MC1,100,0,100,0,100,10361,100,12,100,0,100,0,100,0,94,389,100,8,0,13363,100,0,100,0,100,0,100,90,75,25,100,0,100,0,100,0,100,0,100,0,100,0,0,0
