disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_170,r_170,n_171,r_171,n_172,r_172,n_174,r_174,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_192,r_192,n_194,r_194,n_197,r_197,n_199,r_199,n_233,r_233,n_241,r_241,n_242,r_242,n_175,r_175,n_232,r_232,is_null,is_broken
82064,20190222,MA2,100,0,100,28553,100,11,100,0,100,0,100,0,100,8,100,0,100,0,100,0,85,15,100,8,100,26,100,0,100,0,8,0,100,49839324,100,30328338,100,730358000000.0,100,0,0,1
82064,20190221,MA2,100,0,100,28529,100,11,100,0,100,0,100,0,100,8,100,0,100,0,100,0,83,17,100,8,100,28,100,0,100,0,8,0,100,49839324,100,30328338,100,730264000000.0,100,0,0,1
32311,20181216,MA2,100,0,100,38380,100,130,100,0,100,0,100,0,100,126,100,6906,100,0,100,0,88,12,100,126,100,23,100,0,100,15019,89,0,100,5971482,100,1933774,100,962474000000.0,100,0,0,1
32311,20181215,MA2,100,0,100,38356,100,130,100,0,100,0,100,0,100,126,100,6906,100,0,100,0,88,12,100,126,100,23,100,0,100,15019,89,0,100,5971329,100,1933774,100,962380000000.0,100,0,0,1
32311,20181214,MA2,100,0,100,38332,100,130,100,0,100,0,100,0,100,126,100,6906,100,0,100,0,89,11,100,126,100,22,100,0,100,15019,89,0,100,5971177,100,1933774,100,962286000000.0,100,0,0,1
32311,20181213,MA2,100,0,100,38308,100,130,100,0,100,0,100,0,100,126,100,6906,100,0,100,0,88,12,100,126,100,23,100,0,100,15019,89,0,100,5971021,100,1933774,100,962193000000.0,100,0,0,1
32311,20181212,MA2,100,0,100,38285,100,130,100,0,100,0,100,0,100,126,100,6906,100,0,100,0,88,12,100,126,100,23,100,0,100,15019,89,0,100,5970867,100,1933774,100,962099000000.0,100,0,0,1
32311,20181211,MA2,100,0,100,38261,100,130,100,0,100,0,100,0,100,126,100,6906,100,0,100,0,88,12,100,126,100,23,100,0,100,15019,89,0,100,5970715,100,1933774,100,958370000000.0,100,0,0,1
18316,20180518,MA2,100,0,100,35637,100,73,100,0,100,0,100,0,100,71,100,0,100,0,100,0,87,13,100,71,100,24,100,0,100,0,91,0,100,4033465,100,876219,100,910657000000.0,100,0,0,1
18316,20180517,MA2,100,0,100,35613,100,73,100,0,100,0,100,0,100,71,100,0,100,0,100,0,87,13,100,71,100,24,100,0,100,0,91,0,100,4028393,100,876218,100,910563000000.0,100,0,0,1
18316,20180516,MA2,100,0,100,35589,100,73,100,0,100,0,100,0,100,71,100,0,100,0,100,0,87,13,100,71,100,24,100,0,100,0,91,0,100,4022897,100,876194,100,906835000000.0,100,0,0,1
18316,20180515,MA2,100,0,100,35565,100,73,100,0,100,0,100,0,100,71,100,0,100,0,100,0,87,13,100,71,100,24,100,0,100,0,91,0,100,4018433,100,876191,100,906741000000.0,100,0,0,1
