disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_194,r_194,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
22842,20190507,MB1,99,2,97,14201,99,16,97,197,99,6559,100,0,100,0,99,2,100,0,100,0,74,26,74,26,200,0,100,0,100,0,99,647698000000.0,99,375149000000.0,100,0,100,65535,0,1
22842,20190506,MB1,99,2,97,14177,99,16,97,197,99,6559,100,0,100,0,99,2,100,0,100,0,74,26,74,26,200,0,100,0,100,0,99,647464000000.0,99,374684000000.0,100,0,100,65535,0,1
22842,20190505,MB1,99,2,97,14153,99,16,97,196,99,6559,100,0,100,0,99,2,100,0,100,0,74,26,74,26,200,0,100,0,100,0,99,646546000000.0,99,373948000000.0,100,0,100,65535,0,1
22842,20190504,MB1,99,2,97,14129,99,16,97,196,99,6559,100,0,100,0,99,2,100,0,100,0,74,26,74,26,200,0,100,0,100,0,99,645675000000.0,99,373253000000.0,100,0,100,65535,0,1
22842,20190503,MB1,99,2,97,14105,99,16,97,196,99,6559,100,0,100,0,99,2,100,0,100,0,74,26,74,26,200,0,100,0,100,0,99,644843000000.0,99,372592000000.0,100,0,100,65535,0,1
22842,20190502,MB1,99,2,97,14081,99,16,97,195,99,6559,100,0,100,0,99,2,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,643968000000.0,99,371894000000.0,100,0,100,65535,0,1
22842,20190501,MB1,99,2,97,14057,99,16,97,195,99,6559,100,0,100,0,99,2,100,0,100,0,75,25,75,25,200,0,100,0,100,0,99,643160000000.0,99,371229000000.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
28943,20190214,MB1,100,0,97,12272,99,19,97,195,100,6509,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,525363000000.0,99,408349000000.0,100,0,100,65535,0,1
