disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
9609,20180704,MB2,100,0,95,20348,99,13,99,368,100,15269,100,0,100,0,100,0,100,0,100,0,68,32,200,0,100,0,100,0,99,948932000000.0,99,386650000000.0,100,0,100,65535,0,1
9609,20180703,MB2,100,0,95,20324,99,13,99,368,100,15269,100,0,100,0,100,0,100,0,100,0,68,32,200,0,100,0,100,0,99,948932000000.0,99,386650000000.0,100,0,100,65535,0,1
9609,20180702,MB2,100,0,95,20300,99,13,99,368,100,15269,100,0,100,0,100,0,100,0,100,0,68,32,200,0,100,0,100,0,99,948932000000.0,99,386650000000.0,100,0,100,65535,0,1
9609,20180701,MB2,100,0,95,20276,99,13,99,368,100,15269,100,0,100,0,100,0,100,0,100,0,68,32,200,0,100,0,100,0,99,948932000000.0,99,386650000000.0,100,0,100,65535,0,1
9609,20180630,MB2,100,0,95,20252,99,13,99,368,100,15269,100,0,100,0,100,0,100,0,100,0,68,32,200,0,100,0,100,0,99,948932000000.0,99,386650000000.0,100,0,100,65535,0,1
9609,20180629,MB2,100,0,95,20228,99,13,99,368,100,15269,100,0,100,0,100,0,100,0,100,0,68,32,200,0,100,0,100,0,99,948932000000.0,99,386650000000.0,100,0,100,65535,0,1
9609,20180628,MB2,100,0,95,20204,99,13,99,368,100,15269,100,0,100,0,100,0,100,0,100,0,68,32,200,0,100,0,100,0,99,948932000000.0,99,386650000000.0,100,0,100,65535,0,1
26726,20180429,MB2,100,0,96,20017,99,17,99,18,100,15329,100,0,100,0,100,0,100,0,100,0,70,30,200,0,100,0,100,0,99,38339106358.0,99,4821897344.0,100,0,100,65535,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1,-1,1,1
26726,20180427,MB2,100,0,96,19969,99,17,99,17,100,15329,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,36879719854.0,99,4735097294.0,100,0,100,65535,0,1
26726,20180426,MB2,100,0,96,19945,99,17,99,17,100,15329,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,34998957974.0,99,4646144086.0,100,0,100,65535,0,1
26726,20180425,MB2,100,0,96,19921,99,17,99,16,100,15329,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,34394591182.0,99,4615489590.0,100,0,100,65535,0,1
26726,20180424,MB2,100,0,96,19897,99,17,99,16,100,15329,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,33481437686.0,99,4359519278.0,100,0,100,65535,0,1
