disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
10045,20180417,MB2,100,0,97,14312,99,16,99,245,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,669609000000.0,99,469292000000.0,100,0,100,65535,0,0
10045,20180416,MB2,100,0,97,14288,99,16,99,244,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,668581000000.0,99,468479000000.0,100,0,100,65535,0,0
10045,20180415,MB2,100,0,97,14264,99,16,99,244,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,667658000000.0,99,467748000000.0,100,0,100,65535,0,0
10045,20180414,MB2,100,0,97,14240,99,16,99,244,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,666781000000.0,99,467001000000.0,100,0,100,65535,0,0
10045,20180413,MB2,100,0,97,14216,99,16,99,243,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,665883000000.0,99,466237000000.0,100,0,100,65535,0,0
10045,20180412,MB2,100,0,97,14192,99,16,99,243,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,664875000000.0,99,465434000000.0,100,0,100,65535,0,0
10045,20180411,MB2,100,0,97,14168,99,16,99,242,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,663918000000.0,99,464659000000.0,100,0,100,65535,0,0
10163,20190322,MB2,100,0,95,22802,99,21,97,990,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1325460000000.0,99,716607000000.0,100,0,100,65535,0,0
10163,20190321,MB2,100,0,95,22778,99,21,97,989,100,15284,100,0,100,0,100,0,100,0,100,0,75,25,200,0,100,0,100,0,99,1324810000000.0,99,715966000000.0,100,0,100,65535,0,0
10163,20190320,MB2,100,0,95,22754,99,21,97,988,100,15284,100,0,100,0,100,0,100,0,100,0,75,25,200,0,100,0,100,0,99,1324200000000.0,99,715393000000.0,100,0,100,65535,0,0
10163,20190319,MB2,100,0,95,22730,99,21,97,988,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1323560000000.0,99,714770000000.0,100,0,100,65535,0,0
10163,20190318,MB2,100,0,95,22706,99,21,97,987,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1322910000000.0,99,714109000000.0,100,0,100,65535,0,0
10163,20190317,MB2,100,0,95,22682,99,21,97,987,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1322270000000.0,99,713442000000.0,100,0,100,65535,0,0
10163,20190316,MB2,100,0,95,22658,99,21,97,986,100,15284,100,0,100,0,100,0,100,0,100,0,75,25,200,0,100,0,100,0,99,1321690000000.0,99,712864000000.0,100,0,100,65535,0,0
10179,20190322,MB2,100,0,95,21989,99,24,98,408,100,15285,100,0,100,0,100,0,100,0,100,0,74,26,200,0,100,0,100,0,99,790541000000.0,99,29702054352.0,100,0,100,65535,0,0
10179,20190321,MB2,100,0,95,21965,99,24,98,408,100,15285,100,0,100,0,100,0,100,0,100,0,74,26,200,0,100,0,100,0,99,789859000000.0,99,29702051448.0,100,0,100,65535,0,0
10179,20190320,MB2,100,0,95,21941,99,24,98,408,100,15285,100,0,100,0,100,0,100,0,100,0,74,26,200,0,100,0,100,0,99,789175000000.0,99,29702044968.0,100,0,100,65535,0,0
10179,20190319,MB2,100,0,95,21917,99,24,98,408,100,15285,100,0,100,0,100,0,100,0,100,0,74,26,200,0,100,0,100,0,99,788490000000.0,99,29702042248.0,100,0,100,65535,0,0
10179,20190318,MB2,100,0,95,21893,99,24,98,407,100,15285,100,0,100,0,100,0,100,0,100,0,74,26,200,0,100,0,100,0,99,787801000000.0,99,29702039440.0,100,0,100,65535,0,0
10179,20190317,MB2,100,0,95,21869,99,24,98,407,100,15285,100,0,100,0,100,0,100,0,100,0,74,26,200,0,100,0,100,0,99,787117000000.0,99,29702036568.0,100,0,100,65535,0,0
10179,20190316,MB2,100,0,95,21845,99,24,98,407,100,15285,100,0,100,0,100,0,100,0,100,0,74,26,200,0,100,0,100,0,99,786443000000.0,99,29702033872.0,100,0,100,65535,0,0
10235,20180627,MB2,100,0,96,16485,99,32,99,241,100,15339,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,699642000000.0,99,14107546503.0,100,0,100,65535,0,0
10235,20180626,MB2,100,0,96,16461,99,32,99,240,100,15339,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,699442000000.0,99,14053058247.0,100,0,100,65535,0,0
10235,20180625,MB2,100,0,96,16437,99,32,99,240,100,15339,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,699210000000.0,99,13994833159.0,100,0,100,65535,0,0
10235,20180624,MB2,100,0,96,16413,99,32,99,240,100,15339,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,698967000000.0,99,13901813423.0,100,0,100,65535,0,0
10235,20180623,MB2,100,0,96,16389,99,32,99,240,100,15339,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,698715000000.0,99,13776261903.0,100,0,100,65535,0,0
10235,20180622,MB2,100,0,96,16365,99,32,99,240,100,15339,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,698463000000.0,99,13658237567.0,100,0,100,65535,0,0
10235,20180621,MB2,100,0,96,16341,99,32,99,240,100,15339,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,698202000000.0,99,13541739391.0,100,0,100,65535,0,0
10257,20180814,MB2,100,0,96,18285,99,16,99,36,100,15327,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,94100881264.0,99,241075000000.0,100,0,100,65535,0,0
10257,20180813,MB2,100,0,96,18261,99,16,99,36,100,15327,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,94100850232.0,99,241075000000.0,100,0,100,65535,0,0
10257,20180812,MB2,100,0,96,18237,99,16,99,36,100,15327,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,94100819168.0,99,241075000000.0,100,0,100,65535,0,0
10257,20180811,MB2,100,0,96,18213,99,16,99,36,100,15327,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,94100788560.0,99,241075000000.0,100,0,100,65535,0,0
10257,20180810,MB2,100,0,96,18189,99,16,99,36,100,15327,100,0,100,0,100,0,100,0,100,0,72,28,200,0,100,0,100,0,99,94100758672.0,99,241075000000.0,100,0,100,65535,0,0
