disk_id,ds,model,n_1,r_1,n_2,r_2,n_3,r_3,n_4,r_4,n_5,r_5,n_6,r_6,n_7,r_7,n_8,r_8,n_9,r_9,n_10,r_10,n_11,r_11,n_12,r_12,n_13,r_13,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_189,r_189,n_190,r_190,n_191,r_191,n_192,r_192,n_193,r_193,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_200,r_200,n_204,r_204,n_205,r_205,n_206,r_206,n_207,r_207,n_211,r_211,n_233,r_233,n_240,r_240,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,n_175,r_175,n_232,r_232,is_null,is_broken
22842,20190507,MB1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,-1,-1,-1,-1,-1,97,14201,-1,-1,-1,-1,99,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,197,99,6559,100,0,100,0,99,2,100,0,100,0,-1,-1,-1,-1,74,26,-1,-1,-1,-1,-1,-1,74,26,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,6.47698E+11,99,3.75149E+11,100,0,100,65535,-1,-1,-1,-1,0,1
22842,20190506,MB1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,-1,-1,-1,-1,-1,97,14177,-1,-1,-1,-1,99,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,197,99,6559,100,0,100,0,99,2,100,0,100,0,-1,-1,-1,-1,74,26,-1,-1,-1,-1,-1,-1,74,26,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,6.47464E+11,99,3.74684E+11,100,0,100,65535,-1,-1,-1,-1,0,1
22842,20190505,MB1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,-1,-1,-1,-1,-1,97,14153,-1,-1,-1,-1,99,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,196,99,6559,100,0,100,0,99,2,100,0,100,0,-1,-1,-1,-1,74,26,-1,-1,-1,-1,-1,-1,74,26,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,6.46546E+11,99,3.73948E+11,100,0,100,65535,-1,-1,-1,-1,0,1
22842,20190504,MB1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,-1,-1,-1,-1,-1,97,14129,-1,-1,-1,-1,99,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,196,99,6559,100,0,100,0,99,2,100,0,100,0,-1,-1,-1,-1,74,26,-1,-1,-1,-1,-1,-1,74,26,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,6.45675E+11,99,3.73253E+11,100,0,100,65535,-1,-1,-1,-1,0,1
22842,20190503,MB1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,-1,-1,-1,-1,-1,97,14105,-1,-1,-1,-1,99,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,196,99,6559,100,0,100,0,99,2,100,0,100,0,-1,-1,-1,-1,74,26,-1,-1,-1,-1,-1,-1,74,26,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,6.44843E+11,99,3.72592E+11,100,0,100,65535,-1,-1,-1,-1,0,1
22842,20190502,MB1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,-1,-1,-1,-1,-1,97,14081,-1,-1,-1,-1,99,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,195,99,6559,100,0,100,0,99,2,100,0,100,0,-1,-1,-1,-1,75,25,-1,-1,-1,-1,-1,-1,75,25,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,6.43968E+11,99,3.71894E+11,100,0,100,65535,-1,-1,-1,-1,0,1
22842,20190501,MB1,-1,-1,-1,-1,-1,-1,-1,-1,99,2,-1,-1,-1,-1,-1,-1,97,14057,-1,-1,-1,-1,99,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,195,99,6559,100,0,100,0,99,2,100,0,100,0,-1,-1,-1,-1,75,25,-1,-1,-1,-1,-1,-1,75,25,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,6.4316E+11,99,3.71229E+11,100,0,100,65535,-1,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
28943,20190214,MB1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,97,12272,-1,-1,-1,-1,99,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,195,100,6509,100,0,100,0,100,0,100,0,100,0,-1,-1,-1,-1,72,28,-1,-1,-1,-1,-1,-1,72,28,200,0,-1,-1,100,0,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,5.25363E+11,99,4.08349E+11,100,0,100,65535,-1,-1,-1,-1,0,1
