disk_id,ds,model,n_1,r_1,n_2,r_2,n_3,r_3,n_4,r_4,n_5,r_5,n_6,r_6,n_7,r_7,n_8,r_8,n_9,r_9,n_10,r_10,n_11,r_11,n_12,r_12,n_13,r_13,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_189,r_189,n_190,r_190,n_191,r_191,n_192,r_192,n_193,r_193,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_200,r_200,n_204,r_204,n_205,r_205,n_206,r_206,n_207,r_207,n_211,r_211,n_233,r_233,n_240,r_240,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,n_175,r_175,n_232,r_232,is_null,is_broken
15560,20190614,MC2,100,4,-1,-1,-1,-1,-1,-1,100,51,-1,-1,-1,-1,-1,-1,100,17181,-1,-1,-1,-1,100,35,-1,-1,100,51,100,0,100,0,90,349,100,23,-1,-1,0,7615,-1,-1,-1,-1,100,0,100,0,100,0,100,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,54,100,4,100,51,100,0,100,2,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
15560,20190612,MC2,100,4,-1,-1,-1,-1,-1,-1,100,51,-1,-1,-1,-1,-1,-1,100,17133,-1,-1,-1,-1,100,35,-1,-1,100,51,100,0,100,0,90,348,100,23,-1,-1,0,7615,-1,-1,-1,-1,100,0,100,0,100,0,100,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,56,100,4,100,51,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
15560,20190611,MC2,100,4,-1,-1,-1,-1,-1,-1,100,51,-1,-1,-1,-1,-1,-1,100,17109,-1,-1,-1,-1,100,35,-1,-1,100,51,100,0,100,0,90,347,100,23,-1,-1,0,7615,-1,-1,-1,-1,100,0,100,0,100,0,100,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,55,100,4,100,51,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
15560,20190610,MC2,100,4,-1,-1,-1,-1,-1,-1,100,51,-1,-1,-1,-1,-1,-1,100,17085,-1,-1,-1,-1,100,35,-1,-1,100,51,100,0,100,0,90,346,100,23,-1,-1,0,7615,-1,-1,-1,-1,100,0,100,0,100,0,100,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,54,100,4,100,51,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
15560,20190609,MC2,100,4,-1,-1,-1,-1,-1,-1,100,51,-1,-1,-1,-1,-1,-1,100,17061,-1,-1,-1,-1,100,35,-1,-1,100,51,100,0,100,0,90,345,100,23,-1,-1,0,7615,-1,-1,-1,-1,100,0,100,0,100,0,100,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,53,100,4,100,51,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
15560,20190608,MC2,100,4,-1,-1,-1,-1,-1,-1,100,51,-1,-1,-1,-1,-1,-1,100,17037,-1,-1,-1,-1,100,35,-1,-1,100,51,100,0,100,0,90,345,100,23,-1,-1,0,7615,-1,-1,-1,-1,100,0,100,0,100,0,100,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,54,100,4,100,51,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
12213,20181007,MC2,100,2,-1,-1,-1,-1,-1,-1,100,6,-1,-1,-1,-1,-1,-1,100,736,-1,-1,-1,-1,100,2,-1,-1,100,6,100,0,100,0,100,9,100,1,-1,-1,0,7660,-1,-1,-1,-1,100,0,100,0,100,2,100,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,46,100,0,100,6,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
12213,20181006,MC2,100,0,-1,-1,-1,-1,-1,-1,100,2,-1,-1,-1,-1,-1,-1,100,712,-1,-1,-1,-1,100,2,-1,-1,100,2,100,0,100,0,100,9,100,1,-1,-1,0,7664,-1,-1,-1,-1,100,0,100,0,100,0,100,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,46,100,0,100,2,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
12213,20181005,MC2,100,0,-1,-1,-1,-1,-1,-1,100,2,-1,-1,-1,-1,-1,-1,100,688,-1,-1,-1,-1,100,2,-1,-1,100,2,100,0,100,0,100,9,100,1,-1,-1,0,7664,-1,-1,-1,-1,100,0,100,0,100,0,100,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,46,100,0,100,2,100,0,100,0,100,0,-1,-1,-1,-1,-1,-1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1
