disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_194,r_194,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
1000,20190322,MB1,100,0,98,5366,99,32,99,7,100,6590,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,26122700792.0,99,5108667898.0,100,0,100,65535,0,0
1000,20190321,MB1,100,0,98,5342,99,32,99,7,100,6590,100,0,100,0,100,0,100,0,100,0,68,32,68,32,200,0,100,0,100,0,99,26122700792.0,99,5108667898.0,100,0,100,65535,0,0
1000,20190320,MB1,100,0,98,5318,99,32,99,7,100,6590,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,26122700792.0,99,5108667898.0,100,0,100,65535,0,0
1000,20190319,MB1,100,0,98,5294,99,32,99,7,100,6590,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,26122700792.0,99,5108667898.0,100,0,100,65535,0,0
1000,20190318,MB1,100,0,98,5270,99,32,99,7,100,6590,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,26122700792.0,99,5108667898.0,100,0,100,65535,0,0
1000,20190317,MB1,100,0,98,5246,99,32,99,7,100,6590,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,26122700792.0,99,5108667898.0,100,0,100,65535,0,0
1000,20190316,MB1,100,0,98,5222,99,32,99,7,100,6590,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,26122700792.0,99,5108667898.0,100,0,100,65535,0,0
10004,20180519,MB1,100,0,98,7919,99,17,98,141,100,6519,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,367000000000.0,99,260000000000.0,100,0,100,65535,0,0
10004,20180518,MB1,100,0,98,7895,99,17,98,141,100,6519,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,365000000000.0,99,259000000000.0,100,0,100,65535,0,0
10004,20180517,MB1,100,0,98,7871,99,17,98,140,100,6519,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,364000000000.0,99,258000000000.0,100,0,100,65535,0,0
10004,20180516,MB1,100,0,98,7847,99,17,98,139,100,6519,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,362000000000.0,99,257000000000.0,100,0,100,65535,0,0
10004,20180515,MB1,100,0,98,7823,99,17,98,139,100,6519,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,361000000000.0,99,256000000000.0,100,0,100,65535,0,0
10004,20180514,MB1,100,0,98,7799,99,17,98,138,100,6519,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,359000000000.0,99,255000000000.0,100,0,100,65535,0,0
10004,20180513,MB1,100,0,98,7775,99,17,98,137,100,6519,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,358000000000.0,99,254000000000.0,100,0,100,65535,0,0
10027,20190408,MB1,100,0,97,13348,99,26,96,231,100,6523,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,394000000000.0,99,32455013218.0,100,0,100,65535,0,0
10027,20190407,MB1,100,0,97,13324,99,26,96,231,100,6523,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,393000000000.0,99,32436840018.0,100,0,100,65535,0,0
10027,20190406,MB1,100,0,97,13300,99,26,96,230,100,6523,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,392000000000.0,99,32428733498.0,100,0,100,65535,0,0
10027,20190405,MB1,100,0,97,13276,99,26,96,230,100,6523,100,0,100,0,100,0,100,0,100,0,72,28,72,28,200,0,100,0,100,0,99,391000000000.0,99,32420103730.0,100,0,100,65535,0,0
10027,20190404,MB1,100,0,97,13252,99,26,96,229,100,6523,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,390000000000.0,99,32411263394.0,100,0,100,65535,0,0
10027,20190403,MB1,100,0,97,13228,99,26,96,228,100,6523,100,0,100,0,100,0,100,0,100,0,71,29,71,29,200,0,100,0,100,0,99,389000000000.0,99,32400049546.0,100,0,100,65535,0,0
10027,20190402,MB1,100,0,97,13204,99,26,96,228,100,6523,100,0,100,0,100,0,100,0,100,0,69,31,69,31,200,0,100,0,100,0,99,388000000000.0,99,32364270970.0,100,0,100,65535,0,0
1003,20190322,MB1,100,0,96,15270,99,17,90,702,100,6515,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,2290000000000.0,99,1030000000000.0,100,0,100,65535,0,0
1003,20190321,MB1,100,0,96,15246,99,17,90,702,100,6515,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,2280000000000.0,99,1030000000000.0,100,0,100,65535,0,0
1003,20190320,MB1,100,0,96,15222,99,17,90,701,100,6515,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,2280000000000.0,99,1030000000000.0,100,0,100,65535,0,0
1003,20190319,MB1,100,0,96,15198,99,17,90,701,100,6515,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,2280000000000.0,99,1030000000000.0,100,0,100,65535,0,0
1003,20190318,MB1,100,0,96,15174,99,17,90,700,100,6515,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,2280000000000.0,99,1030000000000.0,100,0,100,65535,0,0
1003,20190317,MB1,100,0,97,15150,99,17,90,699,100,6515,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,2280000000000.0,99,1030000000000.0,100,0,100,65535,0,0
1003,20190316,MB1,100,0,97,15126,99,17,90,699,100,6515,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,100,0,99,2280000000000.0,99,1030000000000.0,100,0,100,65535,0,0
10070,20180428,MB1,100,0,98,7009,99,14,99,4,100,6530,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,99,1,99,9004427630.0,99,21489049740.0,100,0,100,65535,0,0
10070,20180427,MB1,100,0,98,6985,99,14,99,4,100,6530,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,99,1,99,9004427630.0,99,21489049740.0,100,0,100,65535,0,0
10070,20180426,MB1,100,0,98,6961,99,14,99,4,100,6530,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,99,1,99,9004427630.0,99,21489049740.0,100,0,100,65535,0,0
10070,20180425,MB1,100,0,98,6937,99,14,99,4,100,6530,100,0,100,0,100,0,100,0,100,0,70,30,70,30,200,0,100,0,99,1,99,9004427630.0,99,21489049740.0,100,0,100,65535,0,0
