disk_id,ds,model,n_5,r_5,n_9,r_9,n_12,r_12,n_177,r_177,n_180,r_180,n_181,r_181,n_182,r_182,n_183,r_183,n_184,r_184,n_187,r_187,n_190,r_190,n_195,r_195,n_197,r_197,n_199,r_199,n_241,r_241,n_242,r_242,n_244,r_244,n_245,r_245,is_null,is_broken
10045,20180417,MB2,100,0,97,14312,99,16,99,245,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,670000000000.0,99,469000000000.0,100,0,100,65535,0,0
10045,20180416,MB2,100,0,97,14288,99,16,99,244,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,669000000000.0,99,468000000000.0,100,0,100,65535,0,0
10045,20180415,MB2,100,0,97,14264,99,16,99,244,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,668000000000.0,99,468000000000.0,100,0,100,65535,0,0
10045,20180414,MB2,100,0,97,14240,99,16,99,244,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,667000000000.0,99,467000000000.0,100,0,100,65535,0,0
10045,20180413,MB2,100,0,97,14216,99,16,99,243,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,666000000000.0,99,466000000000.0,100,0,100,65535,0,0
10045,20180412,MB2,100,0,97,14192,99,16,99,243,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,665000000000.0,99,465000000000.0,100,0,100,65535,0,0
10045,20180411,MB2,100,0,97,14168,99,16,99,242,100,15331,100,0,100,0,100,0,100,0,100,0,71,29,200,0,100,0,100,0,99,664000000000.0,99,465000000000.0,100,0,100,65535,0,0
10163,20190322,MB2,100,0,95,22802,99,21,97,990,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1330000000000.0,99,717000000000.0,100,0,100,65535,0,0
10163,20190321,MB2,100,0,95,22778,99,21,97,989,100,15284,100,0,100,0,100,0,100,0,100,0,75,25,200,0,100,0,100,0,99,1320000000000.0,99,716000000000.0,100,0,100,65535,0,0
10163,20190320,MB2,100,0,95,22754,99,21,97,988,100,15284,100,0,100,0,100,0,100,0,100,0,75,25,200,0,100,0,100,0,99,1320000000000.0,99,715000000000.0,100,0,100,65535,0,0
10163,20190319,MB2,100,0,95,22730,99,21,97,988,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1320000000000.0,99,715000000000.0,100,0,100,65535,0,0
10163,20190318,MB2,100,0,95,22706,99,21,97,987,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1320000000000.0,99,714000000000.0,100,0,100,65535,0,0
10163,20190317,MB2,100,0,95,22682,99,21,97,987,100,15284,100,0,100,0,100,0,100,0,100,0,76,24,200,0,100,0,100,0,99,1320000000000.0,99,713000000000.0,100,0,100,65535,0,0
