disk_id,ds,model,n_1,r_1,n_5,r_5,n_9,r_9,n_12,r_12,n_170,r_170,n_171,r_171,n_172,r_172,n_173,r_173,n_174,r_174,n_180,r_180,n_183,r_183,n_184,r_184,n_187,r_187,n_188,r_188,n_194,r_194,n_195,r_195,n_196,r_196,n_197,r_197,n_198,r_198,n_199,r_199,n_206,r_206,n_211,r_211,is_null,is_broken
10033,20190322,MC2,100,0,100,0,100,7225,100,23,100,0,100,0,100,0,100,25,100,22,0,7666,100,0,100,0,100,0,100,20,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10033,20190321,MC2,100,0,100,0,100,7203,100,23,100,0,100,0,100,0,100,25,100,22,0,7666,100,0,100,0,100,0,100,20,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10033,20190320,MC2,100,0,100,0,100,7177,100,23,100,0,100,0,100,0,100,25,100,22,0,7666,100,0,100,0,100,0,100,20,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10033,20190319,MC2,100,0,100,0,100,7155,100,23,100,0,100,0,100,0,100,25,100,22,0,7666,100,0,100,0,100,0,100,20,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10033,20190318,MC2,100,0,100,0,100,7129,100,23,100,0,100,0,100,0,100,25,100,22,0,7666,100,0,100,0,100,0,100,20,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10033,20190317,MC2,100,0,100,0,100,7107,100,23,100,0,100,0,100,0,100,25,100,22,0,7666,100,0,100,0,100,0,100,20,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10033,20190316,MC2,100,0,100,0,100,7083,100,23,100,0,100,0,100,0,100,24,100,22,0,7666,100,0,100,0,100,0,100,20,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10069,20190322,MC2,100,0,100,0,100,2765,100,18,100,0,100,0,100,0,100,4,100,12,0,7666,100,0,100,0,100,0,100,11,75,25,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10069,20190321,MC2,100,0,100,0,100,2741,100,18,100,0,100,0,100,0,100,4,100,12,0,7666,100,0,100,0,100,0,100,11,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10069,20190320,MC2,100,0,100,0,100,2717,100,18,100,0,100,0,100,0,100,4,100,12,0,7666,100,0,100,0,100,0,100,11,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10069,20190318,MC2,100,0,100,0,100,2669,100,18,100,0,100,0,100,0,100,4,100,12,0,7666,100,0,100,0,100,0,100,11,75,25,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10069,20190317,MC2,100,0,100,0,100,2645,100,18,100,0,100,0,100,0,100,4,100,12,0,7666,100,0,100,0,100,0,100,11,75,25,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10069,20190316,MC2,100,0,100,0,100,2621,100,18,100,0,100,0,100,0,100,4,100,12,0,7666,100,0,100,0,100,0,100,11,75,25,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10080,20190322,MC2,100,0,100,0,100,2594,100,16,100,0,100,0,100,0,100,5,100,11,0,7666,100,0,100,0,100,0,100,8,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10080,20190321,MC2,100,0,100,0,100,2570,100,16,100,0,100,0,100,0,100,5,100,11,0,7666,100,0,100,0,100,0,100,8,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10080,20190320,MC2,100,0,100,0,100,2546,100,16,100,0,100,0,100,0,100,5,100,11,0,7666,100,0,100,0,100,0,100,8,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10080,20190319,MC2,100,0,100,0,100,2522,100,16,100,0,100,0,100,0,100,5,100,11,0,7666,100,0,100,0,100,0,100,8,78,22,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10080,20190318,MC2,100,0,100,0,100,2498,100,16,100,0,100,0,100,0,100,5,100,11,0,7666,100,0,100,0,100,0,100,8,77,23,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10080,20190317,MC2,100,0,100,0,100,2474,100,16,100,0,100,0,100,0,100,5,100,11,0,7666,100,0,100,0,100,0,100,8,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10080,20190316,MC2,100,0,100,0,100,2450,100,16,100,0,100,0,100,0,100,5,100,11,0,7666,100,0,100,0,100,0,100,8,76,24,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10082,20190322,MC2,100,0,100,0,100,13103,100,18,100,0,100,0,100,0,98,80,100,8,0,7666,100,0,100,0,100,0,100,11,65,35,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10082,20190321,MC2,100,0,100,0,100,13079,100,18,100,0,100,0,100,0,98,80,100,8,0,7666,100,0,100,0,100,0,100,11,64,36,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10082,20190320,MC2,100,0,100,0,100,13055,100,18,100,0,100,0,100,0,98,80,100,8,0,7666,100,0,100,0,100,0,100,11,65,35,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10082,20190319,MC2,100,0,100,0,100,13031,100,18,100,0,100,0,100,0,98,80,100,8,0,7666,100,0,100,0,100,0,100,11,63,37,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
10082,20190318,MC2,100,0,100,0,100,13007,100,18,100,0,100,0,100,0,98,79,100,8,0,7666,100,0,100,0,100,0,100,11,64,36,100,0,100,0,100,0,100,0,100,0,100,0,-1,-1,0,0
